sample-ID,plot ID,Tree species,Sc. name,Dutch soil code,soil catagory,lat,long,stem bark,stem bark,stem bark,stem bark,stem bark,stem bark,stem bark,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,Stem wood,Stem wood,Stem wood,Stem wood,Stem wood,Stem wood,Stem wood,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Fine branches,Fine branches,Fine branches,Fine branches,Fine branches,Fine branches,Fine branches
sample-ID,plot ID,Tree species,Sc. name,Dutch soil code,soil catagory,lat,long,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C
20,TONGE4,Japanese larch,Larix kaempferi,Y23,rich,52.3623,5.9342,2.06,1.8,0.32,0.16,0.26,3.79,526,0.28,0.4,0.08,0.04,0.05,1.18,495,0.27,0.3,0.06,0.01,0.05,1.37,504,NA,NA,NA,NA,NA,NA,NA,4.04,4.2,0.74,0.47,0.36,5.43,514,0.61,0.6,0.2,0.07,0.1,1.73,507,2.34,3,0.52,0.45,0.35,5.03,513
21,TONGE4,Douglas fir ,Pseudotsuga menziesii,Y23,rich,52.3623,5.9342,1.45,0.4,0.14,0.11,0.21,3.38,583,0.32,0.4,0.07,0.06,0.06,1.29,499,0.15,0.1,0.01,0.01,0.04,1.23,503,NA,NA,NA,NA,NA,NA,NA,7.64,2,0.61,0.3,0.33,4.22,509,0.97,0.1,0.18,0.04,0.08,1.69,516,3.49,2.3,0.39,0.27,0.27,3.74,509
22,QUADE3,Douglas fir ,Pseudotsuga menziesii,zEZ30,moderate,51.9992,5.7302,1.24,0.6,0.19,0.19,0.33,3.94,588,0.35,0.6,0.09,0.1,0.1,1.58,500,0.27,0,0.02,0.02,0.05,1.41,508,NA,NA,NA,NA,NA,NA,NA,4.25,2.5,0.81,0.58,0.39,5.93,519,0.5,0.1,0.12,0.04,0.07,1.47,517,4.93,2,0.48,0.51,0.36,4.88,514
23,QUADE3,Japanese larch,Larix kaempferi,zEZ30,moderate,51.9992,5.7302,3.25,1,0.31,0.23,0.34,5,540,0.18,0.3,0.05,0.05,0.06,1.33,499,0.24,0.2,0.04,0.02,0.05,1.65,503,NA,NA,NA,NA,NA,NA,NA,5.23,3.9,1.18,0.74,0.63,8.41,519,1.22,0.7,0.38,0.04,0.06,1.19,510,2.77,1.3,0.55,0.5,0.34,5.26,510
24,MONTF1,Beech ,Fagus sylvatica,Y30,moderate,51.9114,6.2148,10.4,1.9,0.71,0.35,0.42,9.69,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,1.1,0.28,0.08,0.12,1.79,488,6.27,1.5,0.61,0.29,0.43,7.88,509,0.71,1.2,0.22,0.08,0.11,2.17,491,1.95,1,0.33,0.27,0.4,6.7,494
25,MONTF1,Norway spruce ,Picea abies,Y30,moderate,51.9114,6.2148,7.89,1.7,0.49,0.29,0.3,4.38,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0.3,0.11,0.01,0.05,1.38,494,9.33,1.5,0.69,0.43,0.43,6.34,528,0.79,0.4,0.16,0.04,0.06,1.55,499,2.46,1.2,0.5,0.33,0.27,4.52,509
26,MONTF1,Common oak ,Quercus robur,Y30,moderate,51.9114,6.2148,15.5,1.4,0.67,0.21,0.48,6.24,503,0.34,0.9,0.05,0.07,0.11,2.08,491,0.56,0.5,0.07,0.02,0.14,1.81,487,NA,NA,NA,NA,NA,NA,NA,7.01,2.1,0.93,0.31,0.61,7.67,506,0.45,1.1,0.13,0.09,0.13,2.01,489,2.26,1.6,0.56,0.33,0.44,5.7,500
27,MONTF1,Japanese larch,Larix kaempferi,Y30,moderate,51.9114,6.2148,3.15,2.4,0.68,0.38,0.41,5.79,517,0.23,0.2,0.05,0.02,0.04,1.18,497,0.3,0.2,0.07,0.01,0.05,1.27,513,NA,NA,NA,NA,NA,NA,NA,4.37,3,0.75,0.54,0.51,6.87,531,1.64,0.7,0.39,0.06,0.08,1.27,505,3.63,2.6,0.54,0.52,0.4,6.04,514
28,QUADE4,Common oak ,Quercus robur,Y30,moderate,51.9976,5.7271,12.1,2.1,0.72,0.29,0.59,7.7,509,0.48,1.6,0.12,0.24,0.2,2.84,479,0.18,0.3,0.02,0.02,0.12,2.2,494,NA,NA,NA,NA,NA,NA,NA,7.65,2.7,0.93,0.38,0.66,7.91,507,0.47,2.7,0.35,0.14,0.17,2.12,483,3.73,2.6,0.57,0.54,0.46,6.55,493
29,MONTF2,Norway spruce ,Picea abies,Y21,moderate,51.9144,6.2092,7.53,3,0.47,0.35,0.36,5.79,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0.6,0.12,0.01,0.05,1.4,498,8.68,2.9,0.84,0.56,0.41,6.15,514,1.13,0.6,0.19,0.05,0.07,1.46,511,3.45,2,0.67,0.44,0.42,5.99,488
30,MONTF2,Douglas fir ,Pseudotsuga menziesii,Y21,moderate,51.9144,6.2092,2.55,1,0.49,0.18,0.29,3.81,542,0.24,0.3,0.11,0.04,0.06,1.01,497,0.14,0.1,0.02,0.01,0.05,1.54,502,NA,NA,NA,NA,NA,NA,NA,4.47,3.4,0.83,0.89,0.48,7.63,522,0.62,0.6,0.15,0.05,0.09,1.51,509,2.51,1.9,0.41,0.5,0.37,4.81,500
31,MONTF2,Japanese larch,Larix kaempferi,Y21,moderate,51.9144,6.2092,2.11,1.2,0.33,0.27,0.32,4.29,530,0.21,0.2,0.05,0.04,0.06,1.05,495,0.28,0.1,0.05,0.01,0.05,1.05,501,NA,NA,NA,NA,NA,NA,NA,2.96,1.9,0.45,0.41,0.4,5.58,531,0.82,0.3,0.23,0.02,0.06,1,508,2.41,1.6,0.43,0.4,0.31,4.49,519
32,MONTF2,Common oak ,Quercus robur,Y21,moderate,51.9144,6.2092,14.9,1.3,0.58,0.19,0.55,7.69,514,0.33,1.1,0.09,0.13,0.15,3.07,492,0.24,0.6,0.03,0.09,0.11,1.26,492,NA,NA,NA,NA,NA,NA,NA,6.23,2.1,0.91,0.24,0.56,6.76,522,0.45,1.8,0.16,0.15,0.19,2.86,489,2.41,3.3,0.76,0.45,0.59,8.85,500
33,MONTF2,Beech ,Fagus sylvatica,Y21,moderate,51.9144,6.2092,12.3,1.7,0.28,0.32,0.37,7.43,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,1,0.29,0.09,0.17,2.48,479,8.33,2,0.42,0.4,0.36,7.17,500,0.84,1.2,0.43,0.09,0.13,2.12,480,3.04,1.5,0.34,0.58,0.33,5.79,491
34,KOOIB1,Beech ,Fagus sylvatica,Y30,moderate,52.1759,5.8978,5.22,1.2,0.7,0.34,0.49,8.84,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.5,0.25,0.06,0.1,1.6,487,3.79,1,0.57,0.31,0.38,6.84,511,0.55,0.8,0.29,0.13,0.14,2.24,486,1.9,1.2,0.54,0.31,0.3,5.06,496
35,KOOIB1,Common oak ,Quercus robur,Y30,moderate,52.1759,5.8978,5.14,0.9,0.52,0.22,0.63,7.96,527,0.25,0.4,0.05,0.05,0.13,2.09,490,0.26,0.3,0.03,0.02,0.11,1.71,491,NA,NA,NA,NA,NA,NA,NA,4.19,1.2,0.9,0.29,0.61,7.46,517,0.45,0.4,0.09,0.07,0.17,2.42,505,0.89,1.1,0.48,0.37,0.33,4.93,489
36,MONTF3,Scots pine ,Pinus sylvestris,Y21,moderate,51.919,6.2159,2.08,0.5,0.12,0.08,0.24,4.06,552,0.57,0.4,0.17,0.06,0.08,,0,0.76,0.2,0.15,0.01,0.05,NA,0,NA,NA,NA,NA,NA,NA,NA,1.73,1,0.25,0.21,0.32,4.42,549,0.88,0.4,0.29,0.04,0.08,1.36,518,2.74,2,0.37,0.48,0.43,5.67,509
37,TREEK1,Norway spruce ,Picea abies,Y30,moderate,52.0848,5.3406,8.31,2,0.87,0.34,0.31,5.28,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,0.4,0.16,0.02,0.06,1.1,501,9.94,1.9,1.08,0.44,0.49,7.37,516,1.04,0.5,0.21,0.08,0.09,1.37,510,3.26,3,0.97,0.66,0.55,8.55,510
38,TREEK2,Norway spruce ,Picea abies,Y30,moderate,52.0743,5.3461,7.22,2.2,1.04,0.48,0.36,5.79,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.7,0.19,0.03,0.05,0.91,493,9.35,2.3,1.67,0.59,0.6,9.7,495,0.9,0.4,0.32,0.04,0.06,1.24,520,2.9,1.7,0.95,0.38,0.45,6.8,503
39,TREEK3,Scots pine ,Pinus sylvestris,Hd21,poor,52.0798,5.3584,1.51,0.3,0.08,0.09,0.21,3.18,558,0.54,0.6,0.14,0.09,0.1,1.39,494,0.81,0.2,0.19,0.02,0.11,1.58,575,NA,NA,NA,NA,NA,NA,NA,4.98,2.7,1.06,0.44,0.43,5.44,507,0.83,0.6,0.29,0.07,0.09,1.23,504,1.58,3.3,0.62,0.57,0.56,5.96,517
40,TREEK4,Common oak ,Quercus robur,Hd21,poor,52.0775,5.3516,10.5,1.4,0.72,0.24,0.38,5.92,500,0.41,0.8,0.13,0.09,0.12,1.93,485,0.35,0.2,0.04,0.01,0.1,1.47,489,NA,NA,NA,NA,NA,NA,NA,5.29,2.7,0.76,0.45,0.7,9.15,504,0.66,0.9,0.18,0.13,0.19,2.58,487,2.1,1.3,0.57,0.33,0.57,6.78,496
41,TREEK4,Beech ,Fagus sylvatica,Hd21,poor,52.0775,5.3516,22.4,2.2,0.36,0.4,0.43,7.92,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,1.1,0.23,0.11,0.13,2.35,489,9.48,1.7,0.43,0.39,0.46,8.53,517,1.02,1,0.21,0.16,0.13,2.96,485,1.9,2.7,0.32,0.38,0.31,4.66,496
42,TREEK5,Norway spruce ,Picea abies,Hd21,poor,52.1001,5.3784,19.3,1.7,0.69,0.41,0.33,5.27,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,0.3,0.16,0.02,0.06,1.17,507,16.6,2.4,1.38,1.09,0.65,9.55,492,1.35,0.4,0.22,0.09,0.08,1.81,520,3.92,1.9,0.82,0.67,0.53,7.21,518
43,TREEK6,Douglas fir ,Pseudotsuga menziesii,Hd21,poor,52.0753,5.3504,2.92,1.4,0.46,0.23,0.32,3.38,528,0.57,2,0.19,0.05,0.08,1.48,505,1.12,2.3,0.36,0.01,0.08,1.51,510,NA,NA,NA,NA,NA,NA,NA,5.53,3.5,1.39,0.49,0.79,9.77,498,1.17,0.6,0.32,0.06,0.11,1.74,517,2.77,3,0.71,0.37,0.44,5.86,507
44,TREEK7,Japanese larch,Larix kaempferi,cZd31,moderate,52.0739,5.356,1.57,1.4,0.38,0.57,0.29,3.96,528,0.29,0.3,0.07,0.06,0.06,1.44,499,0.12,0.1,0.03,0.01,0.04,1.56,504,NA,NA,NA,NA,NA,NA,NA,2.78,2.9,0.7,0.76,0.42,6.03,515,0.42,0.2,0.11,0.04,0.06,1.44,505,2.01,1.5,0.53,0.59,0.35,5.65,510
45,LGHTM1,Norway spruce ,Picea abies,Hn21,poor,52.0572,5.374,12.7,1.5,0.58,0.3,0.38,5.7,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.3,0.14,0.02,0.05,1.21,503,19.6,2.2,1.05,0.62,0.59,9.45,492,1.77,0.3,0.2,0.05,0.08,1.41,517,4.43,1.2,0.51,0.28,0.3,4.68,510
46,LGHTM2,Common oak ,Quercus robur,Y21,moderate,52.0552,5.3673,7.53,2.1,0.8,0.3,0.64,7.88,521,0.49,1.5,0.2,0.25,0.17,3.01,477,0.26,0.4,0.03,0.02,0.12,1.71,487,NA,NA,NA,NA,NA,NA,NA,5.33,2.7,1.2,0.49,0.76,9.2,510,0.68,1.2,0.28,0.25,0.19,2.91,487,2.72,1.9,0.77,0.6,0.52,8.25,497
47,LGHTM2,Scots pine ,Pinus sylvestris,Y21,moderate,52.0552,5.3673,1.11,0.4,0.07,0.09,0.24,3.51,580,0.85,0.3,0.24,0.03,0.05,1.26,502,0.74,0.3,0.17,0.01,0.06,1.52,537,NA,NA,NA,NA,NA,NA,NA,3.42,2.2,0.65,0.52,0.54,6.82,515,0.72,0.6,0.26,0.08,0.11,1.79,502,1.61,1.5,0.47,0.31,0.37,5.1,511
48,LGHTM2,Beech ,Fagus sylvatica,Y21,moderate,52.0552,5.3673,22.8,2.9,0.39,0.45,0.39,7.29,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,1.1,0.18,0.11,0.14,2.28,490,23.7,2.5,0.45,0.61,0.47,8.79,480,1.16,1.4,0.3,0.37,0.18,3.61,482,3.34,1.6,0.39,0.67,0.34,5.2,488
101,leersum1,Common oak ,Quercus robur,Zn21,poor,52.0423,5.4346,8.23,1.2,0.94,0.2,0.62,NA,NA,0.41,1.3,0.18,0.11,0.16,2.07,485,0.25,0.5,0.03,0.01,0.12,1.89,494,NA,NA,NA,NA,NA,NA,NA,12.1,2.2,2.65,0.43,0.61,9,497,0.85,1.2,0.55,0.27,0.34,3.99,477,1.44,1.5,0.63,0.37,0.44,6.37,496
101,leersum1,Scots pine ,Pinus sylvestris,Zn21,poor,52.0423,5.4346,1.27,0.4,0.12,0.08,0.21,NA,NA,0.32,0.5,0.1,0.07,0.09,1.06,492,0.51,0.2,0.12,0.0000001,0.04,,0,NA,NA,NA,NA,NA,NA,NA,5.45,1.6,0.64,0.39,0.5,6.8,523,1.92,0.6,0.34,0.11,0.13,1.89,518,1.61,1.8,0.65,0.41,0.48,7.32,510
101,leersum1,Silver birch ,Betula pendula,Zn21,poor,52.0423,5.4346,3.73,1.1,0.56,0.31,0.45,6.72,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.9,0.36,0.21,0.09,1.99,486,6.79,0.7,0.7,0.42,0.49,8.37,543,1.06,0.4,0.48,0.41,0.24,3.82,493,2.48,0.7,0.72,0.7,0.48,9.04,503
102,leersum2,Common oak ,Quercus robur,Hn21,poor,52.041,5.4319,7.77,1,0.7,0.18,0.62,NA,NA,0.51,1.5,0.18,0.17,0.18,8.19,526,0.23,0.4,0.03,0.02,0.11,2.05,491,NA,NA,NA,NA,NA,NA,NA,9.44,1.9,1.11,0.44,0.69,10.2,505,1.15,1.3,0.27,0.23,0.28,3.78,480,2.02,1.5,0.62,0.35,0.46,7.59,494
102,leersum2,Scots pine ,Pinus sylvestris,Hn21,poor,52.041,5.4319,5.3,0.3,0.1,0.07,0.19,NA,NA,0.42,0.5,0.1,0.05,0.08,,0,0.52,0.2,0.11,0,0.04,0.96,565,NA,NA,NA,NA,NA,NA,NA,6.82,2.5,0.7,0.45,0.45,6.65,506,1.23,0.3,0.23,0.02,0.06,1.67,510,2.02,2.3,0.52,0.31,0.42,5.03,509
103,leersum3,Common oak ,Quercus robur,Hn21,poor,52.0408,5.4311,9.12,2.1,0.74,0.17,0.43,NA,NA,0.33,1.4,0.14,0.09,0.18,3.03,486,0.21,0.5,0.02,0.02,0.11,2.15,491,NA,NA,NA,NA,NA,NA,NA,7.9,2,1.01,0.37,0.89,12.5,511,0.78,1.2,0.23,0.15,0.35,5.65,490,3.53,2,0.71,0.34,0.65,8.21,495
103,leersum3,Scots pine ,Pinus sylvestris,Hn21,poor,52.0408,5.4311,0.67,0.3,0.06,0.04,0.22,NA,NA,0.58,0.6,0.08,0.08,0.13,,0,0.67,0.2,0.11,0,0.05,1.27,524,NA,NA,NA,NA,NA,NA,NA,4.71,3.8,0.71,0.47,0.59,8.17,515,2.37,1.6,0.4,0.14,0.24,3.09,511,1.77,2.8,0.7,0.37,0.48,6.87,514
104,leersum4,Common oak ,Quercus robur,cHn21,moderate,52.0384,5.4232,5.71,1.2,1.19,0.2,0.72,9.72,541,0.28,1.3,0.17,0.13,0.19,2.72,490,0.22,0.4,0.03,0.02,0.12,2.3,496,NA,NA,NA,NA,NA,NA,NA,5.03,2.6,1.62,0.38,0.59,8.67,502,1.58,1.8,0.62,0.27,0.3,4.47,490,2.49,2.6,0.83,0.49,0.54,7.93,499
